Citing ID,Citing Venue Name,Citing Venue SciMap ID,Citing Publication Year,Cited ID,Cited Venue Name,Cited Venue SciMap ID,Cited Publication Year
2730570201,NA,NA,2017,1988185025,nature,13439,2001
2736063065,computational biology and chemistry,4169,2017,1988185025,nature,13439,2001
2746779500,NA,NA,2010,1988185025,nature,13439,2001
2751059391,plos one,14924,2017,1988185025,nature,13439,2001
2753766133,NA,NA,2017,1988185025,nature,13439,2001
2885419946,NA,NA,2013,1988185025,nature,13439,2001
2891037513,biorxiv,NA,2018,1988185025,nature,13439,2001
2945134102,periodontology 2000,14550,2019,1988185025,nature,13439,2001
2993249772,international journal of biosciences,NA,2011,1988185025,nature,13439,2001
3023296959,journal of pediatric intensive care,NA,2020,1988185025,nature,13439,2001
3040322614,human reproduction,7468,2020,1988185025,nature,13439,2001
3099218792,NA,NA,2014,1988185025,nature,13439,2001
3104864082,journal of physical chemistry c,11167,2008,1988185025,nature,13439,2001
843353,methods of molecular biology,NA,2008,1997894107,nature,13439,2003
48061512,current topics in microbiology and immunology,4716,2005,1997894107,nature,13439,2003
177137871,methods of molecular biology,NA,2010,1997894107,nature,13439,2003
793970965,NA,NA,2004,1997894107,nature,13439,2003
1977495737,current biology,4595,2003,1997894107,nature,13439,2003
2011347582,computer physics communications,4211,2004,1997894107,nature,13439,2003
2071060511,quaternary science reviews,16317,2009,1997894107,nature,13439,2003
2096434065,NA,NA,2006,1997894107,nature,13439,2003
2128577591,acta biochimica polonica,342,2004,1997894107,nature,13439,2003
2129673273,evolution,6080,2004,1997894107,nature,13439,2003
2169118819,computer physics communications,4211,2004,1997894107,nature,13439,2003
2481076103,NA,NA,2006,1997894107,nature,13439,2003
2745836963,NA,NA,2005,1997894107,nature,13439,2003
843353,methods of molecular biology,NA,2008,2098926562,science,17311,2003
17920403,NA,NA,2009,2098926562,science,17311,2003
128787129,NA,NA,2009,2098926562,science,17311,2003
149843209,NA,NA,2009,2098926562,science,17311,2003
169424858,NA,NA,2007,2098926562,science,17311,2003
192876626,advances in botanical research,20583,2009,2098926562,science,17311,2003
304471377,annual reports in medicinal chemistry,1507,2008,2098926562,science,17311,2003
341059762,NA,NA,2004,2098926562,science,17311,2003
1483120747,studies in computational intelligence,25120,2009,2098926562,science,17311,2003
1488232625,journal of the korean society of food science and nutrition,22761,2005,2098926562,science,17311,2003
1508952372,NA,NA,2006,2098926562,science,17311,2003
1537422369,advances in biochemical engineering biotechnology,NA,2010,2098926562,science,17311,2003
1558382478,NA,NA,2009,2098926562,science,17311,2003
1867135954,NA,NA,2011,2098926562,science,17311,2003
1968407363,the energy journal,NA,2003,2098926562,science,17311,2003
1970309218,current proteomics,4701,2007,2098926562,science,17311,2003
1980186424,the energy journal,NA,2003,2098926562,science,17311,2003
1980714035,journal of theoretical biology,11797,2004,2098926562,science,17311,2003
1986609797,nature chemical biology,13442,2007,2098926562,science,17311,2003
1992892867,bioprocess and biosystems engineering,2591,2005,2098926562,science,17311,2003
1993928884,international journal of knowledge discovery in bioinformatics,NA,2012,2098926562,science,17311,2003
2002458103,proceedings of the national academy of sciences of the united states of america,15868,2005,2098926562,science,17311,2003
2006450310,the energy journal,NA,2002,2098926562,science,17311,2003
2006847457,plos one,14924,2011,2098926562,science,17311,2003
2007105229,revista espanola de documentacion cientifica,16861,2013,2098926562,science,17311,2003
2011347582,computer physics communications,4211,2004,2098926562,science,17311,2003
2037879671,nature biotechnology,13440,2004,2098926562,science,17311,2003
2040613708,critical reviews in biotechnology,4506,2016,2098926562,science,17311,2003
2041689727,current opinion in microbiology,4664,2004,2098926562,science,17311,2003
2043568234,industrial biotechnology,22027,2005,2098926562,science,17311,2003
2044395900,NA,NA,2013,2098926562,science,17311,2003
2052978973,physics in medicine and biology,14778,2006,2098926562,science,17311,2003
2056262837,science & technology libraries,17319,2004,2098926562,science,17311,2003
2058830090,biochemical journal,2446,2004,2098926562,science,17311,2003
2073767224,expert review of proteomics,6157,2004,2098926562,science,17311,2003
2083011190,nature biotechnology,13440,2008,2098926562,science,17311,2003
2084126391,drug discovery today targets,5103,2004,2098926562,science,17311,2003
2086120344,plos one,14924,2011,2098926562,science,17311,2003
2121481633,nucleic acids research,13928,2004,2098926562,science,17311,2003
2123755005,NA,NA,2005,2098926562,science,17311,2003
2126597349,bioinformatics,2499,2007,2098926562,science,17311,2003
2128792330,journal of proteome research,11262,2008,2098926562,science,17311,2003
2132092950,genome biology,6685,2012,2098926562,science,17311,2003
2139601740,NA,NA,2012,2098926562,science,17311,2003
2140517953,bioessays,2483,2005,2098926562,science,17311,2003
2146863756,database,NA,2010,2098926562,science,17311,2003
2147465149,molecular & cellular proteomics,13195,2005,2098926562,science,17311,2003
2153670686,analyst,1256,2005,2098926562,science,17311,2003
2154451022,NA,NA,2004,2098926562,science,17311,2003
2161614263,journal of science education and technology,11380,2005,2098926562,science,17311,2003
2163053177,international journal of environmental research and public health,8490,2005,2098926562,science,17311,2003
2169118819,computer physics communications,4211,2004,2098926562,science,17311,2003
2170828917,earth system dynamics discussions,NA,2011,2098926562,science,17311,2003
2180334400,NA,NA,2014,2098926562,science,17311,2003
2182259873,NA,NA,2014,2098926562,science,17311,2003
2182568072,NA,NA,2007,2098926562,science,17311,2003
2183183828,NA,NA,2005,2098926562,science,17311,2003
2184659027,genetics and molecular research,6672,2004,2098926562,science,17311,2003
2185048060,NA,NA,2010,2098926562,science,17311,2003
2188365019,NA,NA,2010,2098926562,science,17311,2003
2188735135,NA,NA,2009,2098926562,science,17311,2003
2321914286,research journal of phytochemistry,NA,2014,2098926562,science,17311,2003
2410855141,ieee acm transactions on computational biology and bioinformatics,7802,2016,2098926562,science,17311,2003
2465431911,methods of molecular biology,NA,2013,2098926562,science,17311,2003
2554237979,NA,NA,2009,2098926562,science,17311,2003
2763138759,NA,NA,2009,2098926562,science,17311,2003
2883769662,journal of theoretical biology,11797,2018,2098926562,science,17311,2003
2941094,NA,NA,2013,2093586013,science,17311,2001
14559333,NA,NA,2014,2093586013,science,17311,2001
24025567,methods of molecular biology,NA,2012,2093586013,science,17311,2001
44947902,NA,NA,2006,2093586013,science,17311,2001
64121688,NA,NA,2011,2093586013,science,17311,2001
71400954,NA,NA,2005,2093586013,science,17311,2001
76720508,NA,NA,2012,2093586013,science,17311,2001
84863269,information knowledge systems management archive,NA,2000,2093586013,science,17311,2001
96107467,NA,NA,2010,2093586013,science,17311,2001
96907760,NA,NA,2006,2093586013,science,17311,2001
101399909,NA,NA,2003,2093586013,science,17311,2001
114428599,NA,NA,2009,2093586013,science,17311,2001
122734621,NA,NA,2005,2093586013,science,17311,2001
130454159,NA,NA,2010,2093586013,science,17311,2001
133761028,NA,NA,2003,2093586013,science,17311,2001
156408880,NA,NA,2001,2093586013,science,17311,2001
163798448,NA,NA,2015,2093586013,science,17311,2001
166318893,molecular biology,13205,2003,2093586013,science,17311,2001
170706376,NA,NA,2010,2093586013,science,17311,2001
177516148,NA,NA,2014,2093586013,science,17311,2001
179552552,cellular and molecular biology,3354,2001,2093586013,science,17311,2001
183084873,NA,NA,2005,2093586013,science,17311,2001
192409476,NA,NA,2002,2093586013,science,17311,2001
197289735,NA,NA,2001,2093586013,science,17311,2001
201754129,journal of global health,NA,2011,2093586013,science,17311,2001
312959870,annual reports in medicinal chemistry,1507,2001,2093586013,science,17311,2001
326702033,NA,NA,2015,2093586013,science,17311,2001
744380257,NA,NA,2002,2093586013,science,17311,2001
755461688,NA,NA,2008,2093586013,science,17311,2001
1470214588,NA,NA,2009,2093586013,science,17311,2001
1479979575,NA,NA,2002,2093586013,science,17311,2001
1482597291,NA,NA,2005,2093586013,science,17311,2001
1491628199,genome biology,6685,2002,2093586013,science,17311,2001
1505124817,comprehensive analytical chemistry,NA,2005,2093586013,science,17311,2001
1534125442,NA,NA,2005,2093586013,science,17311,2001
1534998411,NA,NA,2007,2093586013,science,17311,2001
1550354111,nursing philosophy,13979,2002,2093586013,science,17311,2001
1550934199,NA,NA,2003,2093586013,science,17311,2001
1554861792,recent advances in phytochemistry,NA,2002,2093586013,science,17311,2001
1555224947,NA,NA,2011,2093586013,science,17311,2001
1565140665,advances in psychology,NA,2008,2093586013,science,17311,2001
1568454412,NA,NA,2003,2093586013,science,17311,2001
1587988100,international journal of experimental pathology,8497,2006,2093586013,science,17311,2001
1592376551,NA,NA,2008,2093586013,science,17311,2001
1592470625,current topics in membranes,4718,2008,2093586013,science,17311,2001
1594597698,NA,NA,2003,2093586013,science,17311,2001
1602226054,burger s medicinal chemistry and drug discovery,NA,2003,2093586013,science,17311,2001
1606974600,methods in cell biology,12958,2004,2093586013,science,17311,2001
1655242850,NA,NA,2010,2093586013,science,17311,2001
1716780478,NA,NA,2007,2093586013,science,17311,2001
1738489011,nature precedings,NA,2009,2093586013,science,17311,2001
1802467340,NA,NA,2012,2093586013,science,17311,2001
1839123957,acta psychiatrica scandinavica,530,2010,2093586013,science,17311,2001
1843028221,NA,NA,2005,2093586013,science,17311,2001
1865021870,genetica,6667,2003,2093586013,science,17311,2001
1945007623,NA,NA,2005,2093586013,science,17311,2001
1948453237,NA,NA,2002,2093586013,science,17311,2001
1955443762,NA,NA,2008,2093586013,science,17311,2001
1963865879,kanzo,NA,2008,2093586013,science,17311,2001
1965138714,journal of neuroscience methods,10968,2001,2093586013,science,17311,2001
1969145905,personalized medicine,14559,2006,2093586013,science,17311,2001
1969319772,cell cycle,3334,2015,2093586013,science,17311,2001
1970843159,tijdschrift voor bedrijfs en verzekeringsgeneeskunde,NA,2002,2093586013,science,17311,2001
1971145185,biochemical and biophysical research communications,2442,2003,2093586013,science,17311,2001
1971784646,studies in history and philosophy of science part c studies in history and philosophy of biological and biomedical sciences,NA,2006,2093586013,science,17311,2001
1973859972,social work in public health,NA,2011,2093586013,science,17311,2001
1973888331,revista de calidad asistencial,16795,2005,2093586013,science,17311,2001
1980995620,the journal of pathology,NA,2001,2093586013,science,17311,2001
1986527160,pharmacogenomics,14634,2003,2093586013,science,17311,2001
1986925547,annals of the new york academy of sciences,1470,2006,2093586013,science,17311,2001
1992427835,journal of evidence based dental practice,NA,2004,2093586013,science,17311,2001
1992740412,NA,NA,2009,2093586013,science,17311,2001
1993627154,chemmedchem,3504,2006,2093586013,science,17311,2001
1993655163,datenbank spektrum,NA,2012,2093586013,science,17311,2001
1995514769,surface science,18184,2002,2093586013,science,17311,2001
1997775198,epigenetics,5686,2010,2093586013,science,17311,2001
1998021303,NA,NA,2002,2093586013,science,17311,2001
2004685742,nature,13439,2003,2093586013,science,17311,2001
2004882509,clinical reviews in allergy & immunology,3895,2010,2093586013,science,17311,2001
2006418011,pediatric dermatology,14486,2008,2093586013,science,17311,2001
2006680720,american journal of pharmacogenomics,1131,2003,2093586013,science,17311,2001
2007492884,science education,17332,2005,2093586013,science,17311,2001
2007999388,nature reviews rheumatology,13477,2008,2093586013,science,17311,2001
2008143662,amino acids,1214,2002,2093586013,science,17311,2001
2010407144,journal of the korean society for applied biological chemistry,11702,2009,2093586013,science,17311,2001
2012703624,frontiers in genetics,NA,2011,2093586013,science,17311,2001
2014837568,forensic science international,6429,2011,2093586013,science,17311,2001
2018062776,medicine health care and philosophy,12846,2010,2093586013,science,17311,2001
2024098827,journal of the american pharmaceutical association,NA,2002,2093586013,science,17311,2001
2024207099,hormone research in paediatrics,7381,2001,2093586013,science,17311,2001
2025818085,current sociology,4708,2006,2093586013,science,17311,2001
2026779129,journal of law medicine & ethics,10683,2006,2093586013,science,17311,2001
2028809698,disease management & health outcomes,5029,2003,2093586013,science,17311,2001
2031153367,blood pressure,2649,2001,2093586013,science,17311,2001
2031601608,NA,NA,2009,2093586013,science,17311,2001
2031634954,computers and composition,4227,2004,2093586013,science,17311,2001
2031821547,science of computer programming,17343,2004,2093586013,science,17311,2001
2031895031,anthropology & medicine,NA,2003,2093586013,science,17311,2001
2034280958,electrophoresis,5419,2005,2093586013,science,17311,2001
2035028478,journal of electrocardiology,10145,2001,2093586013,science,17311,2001
2035291205,livestock science,12431,2014,2093586013,science,17311,2001
2035699415,biochemical and biophysical research communications,2442,2002,2093586013,science,17311,2001
2037198752,bioorganic & medicinal chemistry letters,2577,2014,2093586013,science,17311,2001
2038199953,acta psychiatrica scandinavica,530,2013,2093586013,science,17311,2001
2039669967,analytical biochemistry,1260,2001,2093586013,science,17311,2001
2042062725,drug discovery today,5101,2001,2093586013,science,17311,2001
2044250041,seminars in nuclear medicine,17465,2008,2093586013,science,17311,2001
2044678051,nucleic acids research,13928,2005,2093586013,science,17311,2001
2046076159,best practice & research clinical haematology,2315,2003,2093586013,science,17311,2001
2046443282,american journal of human genetics,1100,2008,2093586013,science,17311,2001
2047330249,journal of bioinformatics and computational biology,9699,2003,2093586013,science,17311,2001
2050131869,NA,NA,2001,2093586013,science,17311,2001
2054991211,nature reviews immunology,13471,2012,2093586013,science,17311,2001
2056982728,chaos solitons & fractals,3428,2002,2093586013,science,17311,2001
2059476215,cadernos pagu,NA,2004,2093586013,science,17311,2001
2059930869,value in health,19096,2002,2093586013,science,17311,2001
2059950561,physics letters a,14780,2003,2093586013,science,17311,2001
2061142243,cloning and stem cells,3928,2002,2093586013,science,17311,2001
2063348176,human evolution,7446,2006,2093586013,science,17311,2001
2064686819,bmj,2706,2001,2093586013,science,17311,2001
2065098237,discourse & society,5013,2004,2093586013,science,17311,2001
2065787297,annales francaises d anesthesie et de reanimation,1366,2009,2093586013,science,17311,2001
2066750491,the epma journal,NA,2011,2093586013,science,17311,2001
2067767553,molecular biology,13205,2004,2093586013,science,17311,2001
2067822816,nature reviews rheumatology,13477,2007,2093586013,science,17311,2001
2070534851,biochemistry and cell biology,2453,2002,2093586013,science,17311,2001
2073464093,rhetoric and public affairs,NA,2001,2093586013,science,17311,2001
2076922159,current opinion in neurobiology,4667,2008,2093586013,science,17311,2001
2078086517,american journal of physiology regulatory integrative and comparative physiology,1143,2003,2093586013,science,17311,2001
2078893906,international journal of information management,8570,2010,2093586013,science,17311,2001
2080622398,computational biology and chemistry,4169,2001,2093586013,science,17311,2001
2084366336,NA,NA,2010,2093586013,science,17311,2001
2084700333,pathobiology,14442,2001,2093586013,science,17311,2001
2085402158,jama internal medicine,NA,2003,2093586013,science,17311,2001
2086780215,social work in public health,NA,2011,2093586013,science,17311,2001
2087268186,international journal of social economics,8758,2003,2093586013,science,17311,2001
2087671558,yakugaku zasshi journal of the pharmaceutical society of japan,19495,2001,2093586013,science,17311,2001
2089399711,new genetics and society,13695,2000,2093586013,science,17311,2001
2090024638,the lancet,NA,2002,2093586013,science,17311,2001
2091174959,bmj,2706,2002,2093586013,science,17311,2001
2092004590,colloids and surfaces b biointerfaces,4015,2003,2093586013,science,17311,2001
2094067305,molecular biotechnology,1635,2008,2093586013,science,17311,2001
2098972600,NA,NA,2003,2093586013,science,17311,2001
2100558818,NA,NA,2002,2093586013,science,17311,2001
2100637729,journal of agricultural and food chemistry,9500,2006,2093586013,science,17311,2001
2105255502,NA,NA,2003,2093586013,science,17311,2001
2108462818,frontiers in genetics,NA,2014,2093586013,science,17311,2001
2109980525,mayo clinic proceedings,12715,2002,2093586013,science,17311,2001
2110835181,annual review of genomics and human genetics,1532,2001,2093586013,science,17311,2001
2111399929,NA,NA,2012,2093586013,science,17311,2001
2111617993,cancer genetics and cytogenetics,3223,2002,2093586013,science,17311,2001
2114422503,archives of disease in childhood,1817,2002,2093586013,science,17311,2001
2119197712,journal of the experimental analysis of behavior,11645,2003,2093586013,science,17311,2001
2122796505,current opinion in cell biology,4648,2012,2093586013,science,17311,2001
2123090115,bmc genomics,2674,2004,2093586013,science,17311,2001
2123608690,literature and medicine,12411,2004,2093586013,science,17311,2001
2125307634,NA,NA,2003,2093586013,science,17311,2001
2125765941,science technology & human values,17347,2003,2093586013,science,17311,2001
2126290201,european journal of human genetics,5917,2005,2093586013,science,17311,2001
2126703991,journal of biomedical informatics,9714,2007,2093586013,science,17311,2001
2126876661,trends in ecology and evolution,18876,2000,2093586013,science,17311,2001
2127511361,journals of gerontology series a biological sciences and medical sciences,11969,2001,2093586013,science,17311,2001
2128945134,NA,NA,2002,2093586013,science,17311,2001
2132195054,health policy,7118,2003,2093586013,science,17311,2001
2134267409,biomarkers in medicine,2545,2011,2093586013,science,17311,2001
2134782025,genetics,6669,2007,2093586013,science,17311,2001
2135405257,british journal of nutrition,2875,2002,2093586013,science,17311,2001
2136550592,annals of human genetics,1430,2011,2093586013,science,17311,2001
2137046483,nephrology dialysis transplantation,13533,2002,2093586013,science,17311,2001
2137852169,NA,NA,2002,2093586013,science,17311,2001
2139324557,NA,NA,2008,2093586013,science,17311,2001
2141315208,journal of data and information quality,NA,2012,2093586013,science,17311,2001
2142325894,clinical cancer research,3797,2002,2093586013,science,17311,2001
2142565324,annals of hepatology,1428,2012,2093586013,science,17311,2001
2143612026,lipids in health and disease,12398,2004,2093586013,science,17311,2001
2144608938,international journal of intelligent computing and cybernetics,NA,2011,2093586013,science,17311,2001
2145250811,international journal of epidemiology,8494,2012,2093586013,science,17311,2001
2145968956,disease management,5027,2002,2093586013,science,17311,2001
2148762016,NA,NA,2002,2093586013,science,17311,2001
2149717051,clinical microbiology reviews,3849,2002,2093586013,science,17311,2001
2149788591,journal of physics d,NA,2003,2093586013,science,17311,2001
2150369053,science communication,17331,2010,2093586013,science,17311,2001
