,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 1991,Citations 1992,Citations 1993,Citations 1994,Citations 1995,Citations 1996,Citations 1997,Citations 1998,Citations 1999,Citations 2000,Citations 2001,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
42,542498,The second generation LIGO interferometers,hep;core;conferencepaper,AIP Conf.Proc.,566672,,,Prepared for,,AIP CONFERENCE PROCEEDINGS,907,1,,LIGO,Instrumentation,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,542502,Data from the LIGO I science run,hep;core;conferencepaper,AIP Conf.Proc.,566672,,,Prepared for,,AIP CONFERENCE PROCEEDINGS,907,,,LIGO,Instrumentation,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,542503,Gravitational wave data analysis in the LIGO scientific collaboration,hep;core;conferencepaper,AIP Conf.Proc.,566672,,,Prepared for,,AIP CONFERENCE PROCEEDINGS,907,,,LIGO,Instrumentation,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,552594,Eliminating thermal violin spikes from LIGO noise,published;hep;core;citeable;arxiv,Phys.Rev.,,,,,,PHYSICAL REVIEW D,14759,10,,LIGO,Gravitation and Cosmology,2001,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
46,555467,"LIGO's ""science reach""",conferencepaper;hep;core;citeable;arxiv,AIP Conf.Proc.,566672,,,,,AIP CONFERENCE PROCEEDINGS,907,8,,LIGO,Gravitation and Cosmology,2001,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
47,556226,Comparison of advanced gravitational wave detectors,published;hep;core;citeable;arxiv,Phys.Rev.,,,,,,PHYSICAL REVIEW D,14759,14,,LIGO,Gravitation and Cosmology,2001,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
48,564941,The LIGO suspended optic digital control system,conferencepaper;hep;core;citeable;arxiv,eConf,,,,,,,,2,,LIGO,General Physics,2001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,565783,The status of LIGO installation and commissioning,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,,,LIGO,Instrumentation,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,572612,Development of large size sapphire crystals for Laser Interferometer Gravitational Wave Observatory,hep;core;conferencepaper;citeable,eConf,,,,,,,,,,LIGO,Instrumentation,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,587424,Commissioning of the LIGO detectors,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,32,,LIGO,,2002,0,0,0,0,0,0,0,0,0,0,1,4,7,6,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0
52,587439,Advanced LIGO optical configuration and prototyping effort,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,27,,LIGO,,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,1,5,1,3,1,2,0,0,0,0,2,0,2,1
53,587441,Seismic isolation for Advanced LIGO,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,52,,LIGO,,2002,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,3,1,0,0,2,3,7,3,5,4,1,3,2,1,1
54,593814,Quadruple suspension design for Advanced LIGO,published;core;citeable;hep,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,60,,LIGO,,2002,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,1,0,4,3,4,6,2,6,1,4,3,3,2,5
55,616110,Gravitational wave detectors: A Report from LIGO land,hep;core;conferencepaper;citeable,NA,634571,,,,,NA,NA,4,LIGO Scientific,LIGO,Gravitation and Cosmology;gr-qc,2003,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,621892,First results on gravity waves,hep;core;citeable;introductory,New Sci.,,,,,,NEW SCIENTIST,13716,,,LIGO,Gravitation and Cosmology,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,624334,LIGO data analysis,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,,LIGO Scientific,LIGO,Computing;Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
